"R0","r","K","I0","trough_index","x_in","q_lineage","Q_burnout","P_persistence","cumulative_persistence","burnout_at_this_trough","m_raw","m_used","entry_status","integration_converged","troughs_found","termination_status"
1.6425,0.01,10000,1,2,0.450795378673704,0.999993496112664,0.999843918378325,0.000156081621674912,3.07638440520628e-14,1.97070238323506e-10,23.8156465090849,24,"success",TRUE,5,"requested_troughs_found"
1.6425,0.01,10000,1,3,0.500773508590287,0.999477626539493,0.987538062464986,0.0124619375350137,3.83377102913707e-16,3.03804669491491e-14,23.8156465090849,24,"success",TRUE,5,"requested_troughs_found"
1.6425,0.01,10000,1,4,0.531903822946928,0.996466368585711,0.91855146302305,0.08144853697695,3.12255041427831e-17,3.52151598770924e-16,23.8156465090849,24,"success",TRUE,5,"requested_troughs_found"
1.6425,0.01,10000,1,5,0.553054531804337,0.990629973233522,0.79776529676143,0.20223470323857,6.31488056379047e-18,2.49106235789927e-17,23.8156465090849,24,"success",TRUE,5,"requested_troughs_found"
1.74125,0.01,10000,1,1,0.307445387787806,0.999999999999912,0.99999999999789,2.11031192520536e-12,2.11031192520537e-12,0.99999999999789,24.4479499332371,24,"success",TRUE,5,"requested_troughs_found"
1.74125,0.01,10000,1,2,0.403503073735958,0.99999911839507,0.999978841696187,2.1158303813401e-05,4.46506208545384e-17,2.11026727458451e-12,24.4479499332371,24,"success",TRUE,5,"requested_troughs_found"
1.74125,0.01,10000,1,3,0.454748334481782,0.999823698316355,0.995777327221833,0.00422267277816725,1.88544961210726e-19,4.44620758933277e-17,24.4479499332371,24,"success",TRUE,5,"requested_troughs_found"
1.74125,0.01,10000,1,4,0.487106267857672,0.998156862561374,0.95668976503213,0.0433102349678699,8.16592657204444e-21,1.80379034638682e-19,24.4479499332371,24,"success",TRUE,5,"requested_troughs_found"
1.74125,0.01,10000,1,5,0.50942188210759,0.993815032056995,0.861655122582664,0.138344877417336,1.12971411060846e-21,7.03621246143598e-21,24.4479499332371,24,"success",TRUE,5,"requested_troughs_found"
1.84,0.01,10000,1,1,0.267415954711141,0.999999999999999,0.999999999999983,1.66533453693772e-14,1.66533453693772e-14,0.999999999999983,24.8109640831758,25,"success",TRUE,5,"requested_troughs_found"
1.84,0.01,10000,1,2,0.362415069125349,0.999999895555723,0.999997388896336,2.61110366364384e-06,4.34836111059073e-20,1.66533018857661e-14,24.8109640831758,25,"success",TRUE,5,"requested_troughs_found"
1.84,0.01,10000,1,3,0.41426834781237,0.999946049144628,0.998652101463078,0.00134789853692156,5.86114957897184e-23,4.34249996101175e-20,24.8109640831758,25,"success",TRUE,5,"requested_troughs_found"
1.84,0.01,10000,1,4,0.447408444300638,0.999106675036081,0.97790465310618,0.0220953468938199,1.29504133143949e-24,5.73164544582789e-23,24.8109640831758,25,"success",TRUE,5,"requested_troughs_found"
1.84,0.01,10000,1,5,0.470518713683703,0.996136741088487,0.907766116699908,0.0922338833000916,1.19446691032785e-25,1.17559464040671e-24,24.8109640831758,25,"success",TRUE,5,"requested_troughs_found"
1.93875,0.01,10000,1,1,0.233430535071699,1,1,0,0,1,24.9750478154939,25,"success",TRUE,5,"requested_troughs_found"
1.93875,0.01,10000,1,2,0.326530136329722,0.999999989067417,0.999999726685473,2.7331452679238e-07,0,0,24.9750478154939,25,"success",TRUE,5,"requested_troughs_found"
1.93875,0.01,10000,1,3,0.378494084228735,0.999984912105745,0.999622870929098,0.000377129070901952,0,0,24.9750478154939,25,"success",TRUE,5,"requested_troughs_found"
