"R0","r","K","I0","x_in","y_BL","I_in","q1","m_raw","m_used","P_burnout","status","boundary_entry_found","integration_converged","integration_absolute_error","integration_subdivisions","t_peak","I_peak","t_in"
3.6175,0.29175,10000,1,0.0588844822690399,0.0583553227634421,583.553227634421,0.990567760678061,583.553227634421,584,0.00394790314950884,"success",TRUE,TRUE,4.80876148369728e-07,7,3.99022262912827,4131.46161110628,7.03240785593592
3.71625,0.29175,10000,1,0.0532792384537019,0.0573813497393121,573.813497393121,0.992243202560012,573.813497393121,574,0.0114500665165167,"success",TRUE,TRUE,1.20350941786993e-05,7,3.85878410711713,4220.89172554852,6.88971755748478
3.815,0.29175,10000,1,0.0482311366082341,0.0564287174342845,564.287174342845,0.993645352657066,564.287174342845,564,0.0274481318347125,"success",TRUE,TRUE,3.08583745086439e-07,8,3.7361985087809,4306.73593741226,6.75767728287574
3.91375,0.29175,10000,1,0.0436823116603365,0.0554979562204477,554.979562204477,0.994812612024958,554.979562204477,555,0.0557714328635921,"success",TRUE,TRUE,5.24743022186567e-07,8,3.62146793888151,4389.79329303314,6.63533679975616
4.0125,0.29175,10000,1,0.0395784384779182,0.0545893382245902,545.893382245902,0.995780449339169,545.893382245902,546,0.0993855015764204,"success",TRUE,TRUE,1.13152830109062e-06,8,3.51368341382001,4470.86947329816,6.52162113448077
4.11125,0.29175,10000,1,0.0358731631534088,0.0537029324925739,537.029324925739,0.996579431833173,537.029324925739,537,0.158818408422089,"success",TRUE,TRUE,3.26710905363607e-06,8,3.41243825080533,4549.07394455273,6.41570326527241
4.21,0.29175,10000,1,0.0325267049819461,0.0528386490710389,528.386490710389,0.997235928455766,528.386490710389,528,0.231899663921669,"success",TRUE,TRUE,1.02806684736155e-05,8,3.31720379267198,4624.31194503208,6.31699341313535
4.30875,0.29175,10000,1,0.0295022562518728,0.0519962743046955,519.962743046955,0.99777325641149,519.962743046955,520,0.313737771801886,"success",TRUE,TRUE,2.98075913348367e-05,8,3.22733043276957,4697.30515851112,6.2248456714991
4.4075,0.29175,10000,1,0.0267662824862546,0.0511754991443516,511.754991443516,0.998211588080233,511.754991443516,512,0.399921630323012,"success",TRUE,TRUE,1.23356305644918e-05,9,3.14206862153863,4769.56111551696,6.13857777387339
4.50625,0.29175,10000,1,0.0242909798935206,0.0503759418745347,503.759418745347,0.998567659032377,503.759418745347,504,0.485577028738759,"success",TRUE,TRUE,1.97201133819843e-05,9,3.06171689031292,4838.02516938382,6.05783319947505
4.605,0.29175,10000,1,0.0220512518024608,0.0495971663713496,495.971663713496,0.99885577761391,495.971663713496,496,0.566737387387203,"success",TRUE,TRUE,2.13030326875525e-05,8,2.98551779951419,4904.48977719987,5.98230770301605
4.70375,0.29175,10000,1,0.0200217247703765,0.0488386967697914,488.386967697914,0.999088461003642,488.386967697914,488,0.640802556349536,"success",TRUE,TRUE,7.8210675273486e-05,8,2.91305674753142,4969.64149902199,5.91126629051577
4.8025,0.29175,10000,1,0.0181827709202863,0.0481000292392827,481.000292392827,0.999275655744329,481.000292392827,481,0.70572062705796,"success",TRUE,TRUE,2.8853687509506e-05,9,2.84397221372934,5033.80072720937,5.84450677440807
4.90125,0.29175,10000,1,0.0165170869378687,0.0473806414248352,473.806414248352,0.999425663330839,473.806414248352,474,0.761615237436236,"success",TRUE,TRUE,0.000152734455394802,9,2.77881973731556,5093.15529570291,5.78196650158079
5,0.29175,10000,1,0.0150060956138989,0.04668,466.8,0.999545710789536,466.8,467,0.808801897419683,"success",TRUE,TRUE,4.11419891408789e-06,10,2.71627070000746,5153.1232554758,5.72298367621745
1.05,0.304,10000,1,NA,0.0137868480725624,NA,NA,137.868480725624,NA,NA,"no_epidemic_peak",FALSE,FALSE,NA,NA,NA,NA,NA
1.14875,0.304,10000,1,NA,0.0342672702149401,NA,NA,342.672702149401,NA,NA,"no_epidemic_peak",FALSE,FALSE,NA,NA,NA,NA,NA
1.2475,0.304,10000,1,0.791449909958671,0.0483467937879768,483.467937879768,0.875181909080148,483.467937879768,483,1.08017529922051e-28,"success",TRUE,TRUE,2.23165355256713e-10,7,33.7471646551172,566.587669027354,43.1247044466131
1.34625,0.304,10000,1,0.714545385962301,0.058078037535056,580.78037535056,0.85838297414611,580.78037535056,581,2.94249773089678e-39,"success",TRUE,TRUE,2.92945259358895e-08,6,24.6505071423242,780.181118861791,31.8715964908048
1.445,0.304,10000,1,0.641434851643314,0.0647884963063182,647.884963063182,0.851074589874086,647.884963063182,648,4.15930217487465e-46,"success",TRUE,TRUE,6.48471911021678e-09,6,19.6019357091995,992.689141072882,25.6771743118598
1.54375,0.304,10000,1,0.573822062943426,0.0693615696044846,693.615696044846,0.850157230628349,693.615696044846,694,1.18162994797101e-49,"success",TRUE,TRUE,2.63329636103604e-07,5,16.3562477642406,1201.34864982614,21.7142823362953
1.6425,0.304,10000,1,0.512385866006199,0.0723995653876182,723.995653876182,0.853553911846024,723.995653876182,724,1.62634586885448e-50,"success",TRUE,TRUE,3.51749687612047e-10,6,14.0796903242856,1404.39486122118,18.9453654309107
1.74125,0.304,10000,1,0.457167155754265,0.0743217677970408,743.217677970408,0.859835809249551,743.217677970408,743,1.86525126267031e-49,"success",TRUE,TRUE,1.29159711887133e-07,5,12.3875351194802,1600.86079604445,16.8946212747717
1.84,0.304,10000,1,0.407860720045373,0.0754253308128545,754.253308128545,0.867993907891685,754.253308128545,754,4.38101249455438e-47,"success",TRUE,TRUE,5.13340063101539e-07,5,11.076646208383,1790.15476246676,15.3114257980612
