"R01","R02","boundary_event","entry_case","Q1","Q2","surv1","surv2","both_burnout","strain1_only_burnout","strain2_only_burnout","neither_burnout","error_message"
1.2,2.22,"yes","strain2_reentered_before_strain1_escaped",1,0.991761865012637,0,0.00823813498736259,0.991761865012637,0.00823813498736259,0,0,NA
1.2,2.23,"yes","strain2_reentered_before_strain1_escaped",1,0.991828099205703,0,0.00817190079429742,0.991828099205703,0.00817190079429742,0,0,NA
1.2,2.24,"yes","strain2_reentered_before_strain1_escaped",1,0.991889744513614,0,0.00811025548638622,0.991889744513614,0.00811025548638622,0,0,NA
1.2,2.25,"yes","strain2_reentered_before_strain1_escaped",1,0.991946959127811,0,0.00805304087218905,0.991946959127811,0.00805304087218905,0,0,NA
1.2,2.26,"yes","strain2_reentered_before_strain1_escaped",1,0.991999913664865,0,0.00800008633513483,0.991999913664865,0.00800008633513483,0,0,NA
1.2,2.27,"yes","strain2_reentered_before_strain1_escaped",1,0.992048768023479,0,0.00795123197652114,0.992048768023479,0.00795123197652114,0,0,NA
1.2,2.28,"yes","strain2_reentered_before_strain1_escaped",1,0.992093587331541,0,0.00790641266845937,0.992093587331541,0.00790641266845937,0,0,NA
1.2,2.29,"yes","strain2_reentered_before_strain1_escaped",1,0.992134544705217,0,0.00786545529478311,0.992134544705217,0.00786545529478311,0,0,NA
1.2,2.3,"yes","strain2_reentered_before_strain1_escaped",1,0.992171751749982,0,0.00782824825001827,0.992171751749982,0.00782824825001827,0,0,NA
1.2,2.31,"yes","strain2_reentered_before_strain1_escaped",1,0.992205309036585,0,0.00779469096341512,0.992205309036585,0.00779469096341512,0,0,NA
1.2,2.32,"yes","strain2_reentered_before_strain1_escaped",1,0.99223532771154,0,0.00776467228845967,0.99223532771154,0.00776467228845967,0,0,NA
1.2,2.33,"yes","strain2_reentered_before_strain1_escaped",1,0.99226189362203,0,0.00773810637797023,0.99226189362203,0.00773810637797023,0,0,NA
1.2,2.34,"yes","strain2_reentered_before_strain1_escaped",1,0.992285068068054,0,0.00771493193194583,0.992285068068054,0.00771493193194583,0,0,NA
