"varied_parameter","parameter_value","R0","K","r","alpha","step","tau","occupied_patches_raw","occupancy_fraction_raw","occupied_patches_established","patches_with_complete_window","occupancy_fraction_established","global_I"
"R0",1.5,1.5,10000,0.125,1e-04,19.1,50,200,1,200,200,1,60828
"R0",1.5,1.5,10000,0.125,1e-04,19.2,50,200,1,200,200,1,59403
"R0",1.5,1.5,10000,0.125,1e-04,19.3,50,200,1,200,200,1,58264
"R0",1.5,1.5,10000,0.125,1e-04,19.4,50,200,1,200,200,1,57033
"R0",1.5,1.5,10000,0.125,1e-04,19.5,50,200,1,200,200,1,55941
"R0",1.5,1.5,10000,0.125,1e-04,19.6,50,200,1,200,200,1,54878
"R0",1.5,1.5,10000,0.125,1e-04,19.7,50,200,1,200,200,1,53978
"R0",1.5,1.5,10000,0.125,1e-04,19.8,50,200,1,200,200,1,53098
"R0",1.5,1.5,10000,0.125,1e-04,19.9,50,200,1,200,200,1,52201
"R0",1.5,1.5,10000,0.125,1e-04,20,50,200,1,200,200,1,51169
"R0",1.5,1.5,10000,0.125,1e-04,20.1,50,200,1,200,200,1,50215
"R0",1.5,1.5,10000,0.125,1e-04,20.2,50,200,1,200,200,1,49369
"R0",1.5,1.5,10000,0.125,1e-04,20.3,50,200,1,200,200,1,48341
"R0",1.5,1.5,10000,0.125,1e-04,20.4,50,200,1,200,200,1,47291
"R0",1.5,1.5,10000,0.125,1e-04,20.5,50,200,1,200,200,1,46305
"R0",1.5,1.5,10000,0.125,1e-04,20.6,50,200,1,200,200,1,45505
"R0",1.5,1.5,10000,0.125,1e-04,20.7,50,200,1,200,200,1,44643
"R0",1.5,1.5,10000,0.125,1e-04,20.8,50,200,1,200,200,1,43890
"R0",1.5,1.5,10000,0.125,1e-04,20.9,50,200,1,200,200,1,43209
"R0",1.5,1.5,10000,0.125,1e-04,21,50,200,1,200,200,1,42333
"R0",1.5,1.5,10000,0.125,1e-04,21.1,50,200,1,200,200,1,41671
"R0",1.5,1.5,10000,0.125,1e-04,21.2,50,200,1,200,200,1,40887
"R0",1.5,1.5,10000,0.125,1e-04,21.3,50,200,1,200,200,1,40115
"R0",1.5,1.5,10000,0.125,1e-04,21.4,50,200,1,200,200,1,39589
"R0",1.5,1.5,10000,0.125,1e-04,21.5,50,200,1,200,200,1,38951
"R0",1.5,1.5,10000,0.125,1e-04,21.6,50,200,1,200,200,1,38251
"R0",1.5,1.5,10000,0.125,1e-04,21.7,50,200,1,200,200,1,37687
"R0",1.5,1.5,10000,0.125,1e-04,21.8,50,200,1,200,200,1,37276
"R0",1.5,1.5,10000,0.125,1e-04,21.9,50,200,1,200,200,1,36679
