"R0","K","log10K","r","gamma","dt","t_max","nsim","n_patch","alpha","I_init","mean_ext_time_index","mean_T_ext","ext_prob","n_ext","finite_conditional_mean"
3.5,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,154.336,15.3336,1,1000,TRUE
3.6,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,151.044,15.0044,1,1000,TRUE
3.7,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,148.742,14.7742,1,1000,TRUE
3.8,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,147.233,14.6233,1,1000,TRUE
3.9,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,145.44,14.444,1,1000,TRUE
4,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,144.223,14.3223,1,1000,TRUE
4.1,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,142.909,14.1909,1,1000,TRUE
4.2,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,141.185,14.0185,1,1000,TRUE
4.3,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,139.791,13.8791,1,1000,TRUE
4.4,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,138.131,13.7131,1,1000,TRUE
4.5,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,136.632,13.5632,1,1000,TRUE
4.6,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,136.562,13.5562,1,1000,TRUE
4.7,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,134.784,13.3784,1,1000,TRUE
4.8,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,134.223,13.3223,1,1000,TRUE
4.9,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,133.297,13.2297,1,1000,TRUE
5,17782.7941003892,4.25,0.05,1,0.1,200,1000,1,0,10,132.215,13.1215,1,1000,TRUE
1.1,31622.7766016838,4.5,0.05,1,0.1,200,1000,1,0,10,147.847014925373,14.6847014925373,0.268,268,TRUE
1.2,31622.7766016838,4.5,0.05,1,0.1,200,1000,1,0,10,95.0808823529412,9.40808823529412,0.136,136,TRUE
1.3,31622.7766016838,4.5,0.05,1,0.1,200,1000,1,0,10,274.349514563107,27.3349514563107,0.103,103,TRUE
1.4,31622.7766016838,4.5,0.05,1,0.1,200,1000,1,0,10,426.71098265896,42.571098265896,0.173,173,TRUE
1.5,31622.7766016838,4.5,0.05,1,0.1,200,1000,1,0,10,426.554945054945,42.5554945054945,0.364,364,TRUE
1.6,31622.7766016838,4.5,0.05,1,0.1,200,1000,1,0,10,400.164285714286,39.9164285714286,0.56,560,TRUE
1.7,31622.7766016838,4.5,0.05,1,0.1,200,1000,1,0,10,358.589808917197,35.7589808917197,0.785,785,TRUE
1.8,31622.7766016838,4.5,0.05,1,0.1,200,1000,1,0,10,326.701098901099,32.5701098901099,0.91,910,TRUE
1.9,31622.7766016838,4.5,0.05,1,0.1,200,1000,1,0,10,302.420725388601,30.1420725388601,0.965,965,TRUE
