"step","occupied_patches","global_I","local_extinctions","recolonizations"
63.8,137,35586,0,0
63.9,137,35175,0,0
64,137,34729,0,0
64.1,137,34478,0,0
64.2,137,34066,0,0
64.3,137,33632,0,0
64.4,137,33379,0,0
64.5,135,33083,2,0
64.6,135,32706,0,0
64.7,135,32363,0,0
64.8,137,31996,0,2
64.9,137,31673,0,0
65,137,31412,0,0
65.1,137,31219,0,0
65.2,137,31045,0,0
65.3,138,30972,0,1
65.4,138,30756,0,0
65.5,138,30773,0,0
65.6,138,30685,0,0
65.7,138,30654,0,0
65.8,138,30480,0,0
65.9,140,30399,0,2
66,139,30311,1,0
66.1,139,30359,0,0
66.2,139,30385,0,0
66.3,140,30458,0,1
66.4,140,30311,0,0
66.5,140,30224,0,0
66.6,140,30185,0,0
66.7,140,30088,0,0
66.8,140,29882,0,0
66.9,140,29896,0,0
67,140,29833,0,0
67.1,141,29783,0,1
67.2,141,29732,0,0
67.3,141,29684,0,0
67.4,141,29651,0,0
67.5,141,29598,0,0
67.6,141,29670,0,0
67.7,142,29810,0,1
67.8,142,30061,0,0
67.9,142,30305,0,0
68,142,30527,0,0
68.1,142,30839,0,0
68.2,142,31062,0,0
68.3,142,31377,0,0
68.4,142,31955,0,0
68.5,142,32512,0,0
68.6,142,32875,0,0
68.7,142,33364,0,0
68.8,142,34033,0,0
68.9,142,34570,1,1
69,142,35084,0,0
69.1,142,35705,1,1
69.2,142,36111,0,0
69.3,142,36753,0,0
69.4,142,37540,0,0
69.5,142,38218,0,0
69.6,143,38874,0,1
69.7,143,39486,0,0
69.8,143,40093,0,0
69.9,144,40804,0,1
70,144,41464,0,0
70.1,144,42158,0,0
70.2,143,42905,1,0
70.3,143,43376,0,0
70.4,143,43701,0,0
70.5,143,44329,0,0
70.6,143,45059,0,0
70.7,144,45564,0,1
70.8,145,46159,0,1
70.9,145,46679,0,0
71,143,47171,2,0
71.1,144,47758,0,1
71.2,144,48157,0,0
71.3,145,48491,0,1
71.4,145,48764,0,0
71.5,145,49108,0,0
71.6,146,49199,0,1
71.7,146,49390,0,0
71.8,146,49519,0,0
71.9,146,49657,0,0
72,147,49701,0,1
72.1,146,49800,1,0
72.2,146,49966,0,0
72.3,146,49842,0,0
72.4,146,49999,0,0
72.5,146,50056,0,0
72.6,146,50326,0,0
72.7,146,50516,0,0
72.8,146,50749,0,0
72.9,147,50932,0,1
73,148,51207,0,1
73.1,147,51292,1,0
73.2,147,51507,0,0
73.3,146,51731,1,0
73.4,146,52082,0,0
73.5,146,52441,0,0
73.6,146,52722,0,0
73.7,146,53124,0,0
73.8,146,53227,0,0
73.9,145,53474,1,0
74,145,53518,0,0
74.1,145,53641,0,0
74.2,147,53531,0,2
74.3,148,53510,0,1
74.4,148,53421,0,0
