"patch","I1_extinction_events","I1_recolonization_events","I2_extinction_events_after_intro","I2_recolonization_events_after_intro","fraction_time_I1_present","fraction_time_I2_present_after_intro","mean_population"
82,4,3,2,2,0.102379524095181,0.079230192451887,8089.0175964807
83,3,2,0,0,0.0331933613277345,0,9479.7550489902
84,4,3,0,0,0.130973805238952,0,7979.85582883423
85,0,0,1,1,1,0.000499875031242189,3450.6824635073
86,2,1,0,0,0.0685862827434513,0,8987.17296540692
87,2,1,0,1,0.0671865626874625,0.0327418145463634,8945.98460307938
88,2,1,1,1,0.0755848830233953,0.000249937515621095,8996.73025394921
89,2,2,0,0,0.893821235752849,0,3771.13317336533
90,4,4,0,1,0.0439912017596481,0.505623594101475,7214.05558888222
91,2,1,1,1,0.0683863227354529,0.0559860034991252,8598.78424315137
92,3,2,2,2,0.103979204159168,0.00199950012496876,8567.84643071386
93,2,1,2,2,0.0621875624875025,0.112471882029493,8279.48450309938
94,4,3,1,2,0.10877824435113,0.0552361909522619,8371.55208958208
95,3,2,1,1,0.0951809638072385,0.0532366908272932,8121.95400919816
96,4,3,0,0,0.0967806438712258,0,8511.97580483903
97,1,0,1,1,0.0377924415116977,0.0467383154211447,9085.42911417716
98,0,0,1,1,1,0.00274931267183204,3491.76404719056
99,5,4,0,1,0.10877824435113,0.0199950012496876,8469.31273745251
100,3,3,1,1,0.240551889622076,0.0544863784053986,7554.95080983803
101,2,1,0,0,0.0777844431113777,0,9025.45330933813
102,2,1,0,1,0.0287942411517696,0.716320919770058,6179.87382523495
103,4,4,0,0,0.114377124575085,0,8422.27134573085
104,3,2,0,1,0.110177964407119,0.0249937515621095,8445.69966006799
105,8,7,1,1,0.199360127974405,0.000999750062484379,7563.04879024195
106,3,2,1,2,0.0637872425514897,0.0797300674831292,8575.97160567886
107,4,3,0,1,0.0839832033593281,0.00349912521869533,8968.97640471906
108,2,2,1,1,0.0735852829434113,0.000749812546863284,8997.25274945011
109,2,1,0,0,0.0345930813837233,0,9491.84203159368
110,3,2,0,1,0.0651869626074785,0.263184203949013,7889.80643871226
111,2,1,1,1,0.0669866026794641,0.0642339415146213,8644.38112377525
112,2,1,0,1,0.0293941211757648,0.466883279180205,7364.44051189762
113,3,2,1,1,0.0683863227354529,0.00124968757810547,9029.75664867027
114,4,3,0,0,0.0739852029594081,0,9001.62927414517
115,3,2,0,0,0.103979204159168,0,8488.60407918416
116,2,1,0,0,0.0763847230553889,0,8994.77424515097
117,6,5,1,2,0.096380723855229,0.258685328667833,7219.93601279744
118,2,1,0,0,0.0609878024395121,0,8982.16836632673
119,2,1,1,1,0.0727854429114177,0.0529867533116721,8616.59268146371
120,4,3,0,1,0.0759848030393921,0.0044988752811797,8999.60187962408
121,2,2,3,3,0.15996800639872,0.0574856285928518,8135.7350529894
122,0,0,0,0,1,0,3495.72985402919
123,2,1,0,0,0.0735852829434113,0,9007.05458908218
124,3,2,1,1,0.112377524495101,0.00249937515621095,8498.64707058588
125,3,2,1,2,0.030993801239752,0.0694826293426643,9093.06958608278
126,1,0,0,1,0.0251949610077984,0.723569107723069,6133.35652869426
127,3,3,2,2,0.279144171165767,0.010497375656086,7512.05878824235
128,3,2,1,1,0.130573885222955,0.0614846288427893,8177.86682663467
129,6,5,2,2,0.21495700859828,0.00149962509372657,7145.21155768846
130,4,4,2,2,0.0675864827034593,0.0534866283429143,8611.54929014197
131,2,2,2,2,0.146570685862827,0.121719570107473,7926.08018396321
