"step","patches_neither","patches_I1_only","patches_I2_only","patches_both","occupied_I1","occupied_I2","global_I1","global_I2","mean_N","I1_local_extinctions","I1_recolonizations","I2_local_extinctions","I2_recolonizations"
19,175,25,0,0,25,0,81,0,2499.69,1,0,0,0
19.1,175,25,0,0,25,0,77,0,2523.27,0,0,0,0
19.2,175,25,0,0,25,0,73,0,2547.2,0,0,0,0
19.3,177,23,0,0,23,0,65,0,2570.835,2,0,0,0
19.4,178,22,0,0,22,0,63,0,2595.24,1,0,0,0
19.5,181,19,0,0,19,0,64,0,2618.81,3,0,0,0
19.6,181,19,0,0,19,0,57,0,2643.08,0,0,0,0
19.7,181,19,0,0,19,0,55,0,2666.745,0,0,0,0
19.8,182,18,0,0,18,0,54,0,2691.21,1,0,0,0
19.9,182,18,0,0,18,0,57,0,2716.415,0,0,0,0
20,182,18,0,0,18,0,61,0,2741.41,0,0,0,0
20.1,182,18,0,0,18,0,55,0,2765.955,0,0,0,0
20.2,184,16,0,0,16,0,45,0,2790.83,2,0,0,0
20.3,184,16,0,0,16,0,45,0,2816.385,0,0,0,0
20.4,184,16,0,0,16,0,49,0,2841.15,0,0,0,0
20.5,186,14,0,0,14,0,42,0,2866.87,2,0,0,0
20.6,186,14,0,0,14,0,41,0,2891.915,0,0,0,0
20.7,186,14,0,0,14,0,43,0,2917.115,0,0,0,0
20.8,186,14,0,0,14,0,42,0,2942.885,0,0,0,0
20.9,186,14,0,0,14,0,45,0,2968.69,0,0,0,0
21,186,14,0,0,14,0,47,0,2994.28,0,0,0,0
21.1,186,14,0,0,14,0,47,0,3020.115,0,0,0,0
21.2,186,14,0,0,14,0,50,0,3047.145,0,0,0,0
21.3,187,13,0,0,13,0,55,0,3073.56,1,0,0,0
21.4,187,13,0,0,13,0,52,0,3099.915,0,0,0,0
21.5,187,13,0,0,13,0,57,0,3126.625,0,0,0,0
21.6,187,13,0,0,13,0,59,0,3153.68,0,0,0,0
21.7,187,13,0,0,13,0,59,0,3180.76,0,0,0,0
21.8,187,13,0,0,13,0,63,0,3208.005,0,0,0,0
21.9,188,12,0,0,12,0,64,0,3235.585,1,0,0,0
22,188,12,0,0,12,0,65,0,3262.7,0,0,0,0
22.1,188,12,0,0,12,0,61,0,3290.14,0,0,0,0
22.2,188,12,0,0,12,0,62,0,3317.92,0,0,0,0
22.3,188,12,0,0,12,0,58,0,3345.77,0,0,0,0
22.4,188,12,0,0,12,0,57,0,3373.235,0,0,0,0
22.5,188,12,0,0,12,0,57,0,3400.865,0,0,0,0
22.6,188,12,0,0,12,0,58,0,3428.46,0,0,0,0
22.7,189,11,0,0,11,0,57,0,3456.435,1,0,0,0
22.8,190,10,0,0,10,0,53,0,3485.18,1,0,0,0
22.9,190,10,0,0,10,0,49,0,3513.275,0,0,0,0
23,190,10,0,0,10,0,52,0,3541.26,0,0,0,0
23.1,190,10,0,0,10,0,51,0,3570.335,0,0,0,0
23.2,190,10,0,0,10,0,55,0,3600.3,0,0,0,0
23.3,190,10,0,0,10,0,56,0,3629.715,0,0,0,0
23.4,190,10,0,0,10,0,60,0,3658.855,0,0,0,0
23.5,190,10,0,0,10,0,59,0,3688.165,0,0,0,0
23.6,190,10,0,0,10,0,61,0,3718.15,0,0,0,0
23.7,190,10,0,0,10,0,56,0,3747.22,0,0,0,0
23.8,192,8,0,0,8,0,59,0,3776.375,2,0,0,0
23.9,192,8,0,0,8,0,61,0,3805.405,0,0,0,0
24,192,8,0,0,8,0,68,0,3835.04,0,0,0,0
24.1,192,8,0,0,8,0,70,0,3864.36,0,0,0,0
24.2,192,8,0,0,8,0,76,0,3894.675,0,0,0,0
24.3,192,8,0,0,8,0,79,0,3924.275,0,0,0,0
24.4,192,8,0,0,8,0,86,0,3953.91,0,0,0,0
24.5,192,8,0,0,8,0,90,0,3983.525,0,0,0,0
24.6,192,8,0,0,8,0,100,0,4013.135,0,0,0,0
24.7,192,8,0,0,8,0,100,0,4043.175,0,0,0,0
24.8,192,8,0,0,8,0,102,0,4073.37,0,0,0,0
24.9,192,8,0,0,8,0,106,0,4103.46,0,0,0,0
25,192,8,0,0,8,0,114,0,4133.62,0,0,0,0
25.1,192,8,0,0,8,0,115,0,4163.53,0,0,0,0
25.2,192,8,0,0,8,0,125,0,4193.605,0,0,0,0
25.3,192,8,0,0,8,0,125,0,4224.065,0,0,0,0
25.4,192,8,0,0,8,0,137,0,4254.545,0,0,0,0
25.5,192,8,0,0,8,0,141,0,4284.54,0,0,0,0
25.6,192,8,0,0,8,0,148,0,4314.665,0,0,0,0
25.7,192,8,0,0,8,0,149,0,4345.485,0,0,0,0
25.8,192,8,0,0,8,0,159,0,4375.73,0,0,0,0
25.9,192,8,0,0,8,0,167,0,4407.31,0,0,0,0
26,192,8,0,0,8,0,175,0,4438.38,0,0,0,0
26.1,192,8,0,0,8,0,188,0,4468.845,0,0,0,0
26.2,192,8,0,0,8,0,184,0,4499.35,0,0,0,0
26.3,192,8,0,0,8,0,189,0,4530.565,0,0,0,0
26.4,192,8,0,0,8,0,198,0,4561.385,0,0,0,0
26.5,192,8,0,0,8,0,202,0,4592.745,0,0,0,0
26.6,192,8,0,0,8,0,214,0,4623.35,0,0,0,0
26.7,192,8,0,0,8,0,219,0,4654.605,0,0,0,0
26.8,192,8,0,0,8,0,221,0,4685.48,0,0,0,0
26.9,192,8,0,0,8,0,232,0,4716.24,0,0,0,0
27,192,8,0,0,8,0,245,0,4746.95,0,0,0,0
