"R0","K","log10K","r","gamma","dt","nsim","t_max","n_patch","alpha","I_init","ext_prob","n_ext","mean_ext_time_index","mean_T_ext","omega_sq","T_osc","omega_logistic_sq","T_osc_logistic","ratio","log10_T_osc","log10_mean_T_ext","log10_ratio","oscillatory","logistic_oscillatory","positive_extinction_time","within_Tosc_window","finite_valid"
4.7,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,103.441,10.2441,0.17119375,15.185738455193,0.0393334087822544,31.6810141551214,0.674586884939854,1.18143591572861,1.01047380927669,-0.170962106451914,TRUE,TRUE,TRUE,TRUE,TRUE
4.8,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,103.1,10.21,0.1756,14.9940036618207,0.0395562065972222,31.5916675201684,0.680938875985324,1.17591761257307,1.00902574208691,-0.166891870486163,TRUE,TRUE,TRUE,TRUE,TRUE
4.9,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,102.287,10.1287,0.17999375,14.8098669118382,0.0397698875468555,31.5066832529031,0.683915666514444,1.17055115577212,1.0055537080398,-0.164997447732324,TRUE,TRUE,TRUE,TRUE,TRUE
5,1778.27941003892,3.25,0.05,1,0.1,1000,200,1,0,10,1,1000,101.544,10.0544,0.184375,14.6328476748199,0.039975,31.4257486172809,0.68711164247965,1.165328851697,1.00235615902386,-0.162972692673135,TRUE,TRUE,TRUE,TRUE,TRUE
1.1,3162.27766016838,3.5,0.05,1,0.1,1000,200,1,0,10,0.999,999,435.385385385385,43.4385385385385,0.00424375,96.4506086386733,0.00402892561983471,98.9886140059811,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE
1.2,3162.27766016838,3.5,0.05,1,0.1,1000,200,1,0,10,0.991,991,509.322906155399,50.8322906155399,0.00910000000000001,65.8656788383031,0.00789930555555556,70.6944649279752,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE
1.3,3162.27766016838,3.5,0.05,1,0.1,1000,200,1,0,10,0.986,986,481.137931034483,48.0137931034483,0.01394375,53.2096098493633,0.0111686390532544,59.4538167925163,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE
1.4,3162.27766016838,3.5,0.05,1,0.1,1000,200,1,0,10,0.979,979,421.539325842697,42.0539325842697,0.018775,45.8553376345614,0.0139668367346939,53.1656147690702,0.917100053202387,1.66138989552001,1.62380661415986,-0.0375832813601561,TRUE,TRUE,TRUE,TRUE,TRUE
1.5,3162.27766016838,3.5,0.05,1,0.1,1000,200,1,0,10,0.986,986,343.362068965517,34.2362068965517,0.02359375,40.9054694984262,0.0163888888888889,49.0800631579454,0.836959147917101,1.61178138170347,1.53448564224493,-0.077295739458545,TRUE,TRUE,TRUE,TRUE,TRUE
1.6,3162.27766016838,3.5,0.05,1,0.1,1000,200,1,0,10,0.998,998,298.248496993988,29.7248496993988,0.0284,37.2838453879692,0.018505859375,46.1875833563393,0.797258152695549,1.5715206983346,1.47311966733154,-0.0984010310030513,TRUE,TRUE,TRUE,TRUE,TRUE
1.7,3162.27766016838,3.5,0.05,1,0.1,1000,200,1,0,10,0.999,999,253.972972972973,25.2972972972973,0.03319375,34.4867055469176,0.0203719723183391,44.0213472393328,0.733537660269738,1.53765170897651,1.40307412467111,-0.134577584305398,TRUE,TRUE,TRUE,TRUE,TRUE
1.8,3162.27766016838,3.5,0.05,1,0.1,1000,200,1,0,10,0.998,998,229.759519038076,22.8759519038076,0.037975,32.2426684224624,0.0220293209876543,42.3330259531304,0.709493135123726,1.5084309770907,1.35937917478087,-0.149051802309831,TRUE,TRUE,TRUE,TRUE,TRUE
1.9,3162.27766016838,3.5,0.05,1,0.1,1000,200,1,0,10,0.999,999,213.288288288288,21.2288288288288,0.04274375,30.3908997408616,0.02351108033241,40.9773223035874,0.698525841940966,1.48274355781956,1.3269260352773,-0.155817522542264,TRUE,TRUE,TRUE,TRUE,TRUE
2,3162.27766016838,3.5,0.05,1,0.1,1000,200,1,0,10,1,1000,197.663,19.6663,0.0475,28.8292313658267,0.02484375,39.8631205697577,0.682165256175086,1.45983306354568,1.29372265983124,-0.166110403714446,TRUE,TRUE,TRUE,TRUE,TRUE
2.1,3162.27766016838,3.5,0.05,1,0.1,1000,200,1,0,10,1,1000,186.242,18.5242,0.05224375,27.4892377263552,0.0260487528344671,38.9301790266153,0.673870995783923,1.43916269707055,1.26773946128901,-0.171423235781542,TRUE,TRUE,TRUE,TRUE,TRUE
2.2,3162.27766016838,3.5,0.05,1,0.1,1000,200,1,0,10,1,1000,177.557,17.6557,0.056975,26.3231404759581,0.0271435950413223,38.1369699543435,0.670729239777663,1.42033770143191,1.24688494082354,-0.173452760608366,TRUE,TRUE,TRUE,TRUE,TRUE
2.3,3162.27766016838,3.5,0.05,1,0.1,1000,200,1,0,10,1,1000,170.723,16.9723,0.06169375,25.2964328395438,0.0281427221172023,37.4538802095453,0.670936495578484,1.40305928373208,1.22974069969092,-0.173318584041158,TRUE,TRUE,TRUE,TRUE,TRUE
2.4,3162.27766016838,3.5,0.05,1,0.1,1000,200,1,0,10,1,1000,162.934,16.1934,0.0664,24.3834878963887,0.0290581597222222,36.8591923696449,0.664113356908152,1.38709582867411,1.20933804370164,-0.177757784972463,TRUE,TRUE,TRUE,TRUE,TRUE
2.5,3162.27766016838,3.5,0.05,1,0.1,1000,200,1,0,10,1,1000,157.051,15.6051,0.07109375,23.5648216426584,0.0299,36.3365988345284,0.662220161758014,1.3722641570215,1.19326655603942,-0.178997600982084,TRUE,TRUE,TRUE,TRUE,TRUE
2.6,3162.27766016838,3.5,0.05,1,0.1,1000,200,1,0,10,1,1000,152.484,15.1484,0.075775,22.8253211031591,0.030676775147929,35.8736045826545,0.663666457594912,1.35841689583828,1.18036676433228,-0.178050131506001,TRUE,TRUE,TRUE,TRUE,TRUE
2.7,3162.27766016838,3.5,0.05,1,0.1,1000,200,1,0,10,1,1000,148.416,14.7416,0.08044375,22.1530595294466,0.0313957475994513,35.4604672512468,0.665443072565439,1.34543371453185,1.16854462283513,-0.17688909169672,TRUE,TRUE,TRUE,TRUE,TRUE
2.8,3162.27766016838,3.5,0.05,1,0.1,1000,200,1,0,10,1,1000,142.842,14.1842,0.0851,21.5384818363827,0.032063137755102,35.0894739851937,0.658551522235896,1.33321508831582,1.15180484627335,-0.181410242042474,TRUE,TRUE,TRUE,TRUE,TRUE
